weight_norm/gru.weight_hh_l0,weight_norm/gru.bias_ih_l0,weight_norm/fc.0.weight,weight_norm/gru.bias_hh_l1,step,weight_norm/gru.weight_ih_l0,weight_norm/fc.0.bias,weight_norm/gru.bias_ih_l1,weight_norm/gru.weight_hh_l1,weight_norm/fc.3.bias,train_loss,weight_norm/fc.3.weight,epoch,weight_norm/gru.weight_ih_l1,weight_norm/gru.bias_hh_l0,train_loss_epoch,val_loss
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,
,,,,0,,,,,,,,0,,,,
,,,,9,,,,,,-0.00016264989972114563,,0,,,,
,,,,19,,,,,,-0.00016264989972114563,,0,,,,
,,,,29,,,,,,-0.00016264989972114563,,0,,,,
,,,,39,,,,,,-0.00016264989972114563,,0,,,,
,,,,49,,,,,,-0.00016264989972114563,,0,,,,
,,,,59,,,,,,-0.00016264989972114563,,0,,,,
,,,,69,,,,,,-0.00016264989972114563,,0,,,,
,,,,79,,,,,,-0.00016264989972114563,,0,,,,
,,,,89,,,,,,-0.00016264989972114563,,0,,,,
,,,,99,,,,,,-0.00016264989972114563,,0,,,,
,,,,109,,,,,,-0.00016264989972114563,,0,,,,
,,,,119,,,,,,-0.00016264989972114563,,0,,,,
,,,,129,,,,,,-0.00016264989972114563,,0,,,,
,,,,139,,,,,,-0.00016264989972114563,,0,,,,
,,,,149,,,,,,-0.00016264989972114563,,0,,,,
,,,,159,,,,,,-0.00016264989972114563,,0,,,,
,,,,169,,,,,,-0.00016264989972114563,,0,,,,
,,,,179,,,,,,-0.00016264989972114563,,0,,,,
,,,,189,,,,,,-0.00016264989972114563,,0,,,,
,,,,199,,,,,,-0.00016264989972114563,,0,,,,
,,,,209,,,,,,-0.00016264989972114563,,0,,,,
,,,,219,,,,,,-0.00016264989972114563,,0,,,,
,,,,229,,,,,,-0.00016264989972114563,,0,,,,
,,,,239,,,,,,-0.00016264989972114563,,0,,,,
,,,,249,,,,,,-0.00016264989972114563,,0,,,,
,,,,259,,,,,,-0.00016264989972114563,,0,,,,
,,,,269,,,,,,-0.00016264989972114563,,0,,,,
,,,,279,,,,,,-0.00016264989972114563,,0,,,,
,,,,289,,,,,,-0.00016264989972114563,,0,,,,
,,,,299,,,,,,-0.00016264989972114563,,0,,,,
,,,,309,,,,,,-0.00016264989972114563,,0,,,,
,,,,319,,,,,,-0.00016264989972114563,,0,,,,
,,,,329,,,,,,-0.00016264989972114563,,0,,,,
,,,,339,,,,,,-0.00016264989972114563,,0,,,,
,,,,349,,,,,,-0.00016264989972114563,,0,,,,
,,,,359,,,,,,-0.00016264989972114563,,0,,,,
,,,,369,,,,,,-0.00016264989972114563,,0,,,,
,,,,379,,,,,,-0.00016264989972114563,,0,,,,
,,,,389,,,,,,-0.00016264989972114563,,0,,,,
,,,,399,,,,,,-0.00016264989972114563,,0,,,,
,,,,409,,,,,,-0.00016264989972114563,,0,,,,
,,,,419,,,,,,-0.00016264989972114563,,0,,,,
,,,,429,,,,,,-0.00016264989972114563,,0,,,,
,,,,439,,,,,,-0.00016264989972114563,,0,,,,
,,,,449,,,,,,-0.00016264989972114563,,0,,,,
,,,,459,,,,,,-0.00016264989972114563,,0,,,,
,,,,469,,,,,,-0.00016264989972114563,,0,,,,
,,,,479,,,,,,-0.00016264989972114563,,0,,,,
,,,,489,,,,,,-0.00016264989972114563,,0,,,,
,,,,499,,,,,,-0.00016264989972114563,,0,,,,
,,,,509,,,,,,-0.00016264989972114563,,0,,,,
,,,,519,,,,,,-0.00016264989972114563,,0,,,,
,,,,529,,,,,,-0.00016264989972114563,,0,,,,
,,,,539,,,,,,-0.00016264989972114563,,0,,,,
,,,,549,,,,,,-0.00016264989972114563,,0,,,,
,,,,559,,,,,,-0.00016264989972114563,,0,,,,
,,,,564,,,,,,,,0,,,0.0,
,,,,569,,,,,,0.0,,1,,,,
,,,,579,,,,,,0.0,,1,,,,
,,,,589,,,,,,0.0,,1,,,,
,,,,599,,,,,,0.0,,1,,,,
,,,,609,,,,,,0.0,,1,,,,
,,,,619,,,,,,0.0,,1,,,,
,,,,629,,,,,,0.0,,1,,,,
,,,,639,,,,,,0.0,,1,,,,
,,,,649,,,,,,0.0,,1,,,,
,,,,659,,,,,,0.0,,1,,,,
,,,,669,,,,,,0.0,,1,,,,
,,,,679,,,,,,0.0,,1,,,,
,,,,689,,,,,,0.0,,1,,,,
,,,,699,,,,,,0.0,,1,,,,
,,,,709,,,,,,0.0,,1,,,,
,,,,719,,,,,,0.0,,1,,,,
,,,,729,,,,,,0.0,,1,,,,
,,,,739,,,,,,0.0,,1,,,,
,,,,749,,,,,,0.0,,1,,,,
,,,,759,,,,,,0.0,,1,,,,
,,,,769,,,,,,0.0,,1,,,,
,,,,779,,,,,,0.0,,1,,,,
,,,,789,,,,,,0.0,,1,,,,
,,,,799,,,,,,0.0,,1,,,,
,,,,809,,,,,,0.0,,1,,,,
,,,,819,,,,,,0.0,,1,,,,
,,,,829,,,,,,0.0,,1,,,,
,,,,839,,,,,,0.0,,1,,,,
,,,,849,,,,,,0.0,,1,,,,
,,,,859,,,,,,0.0,,1,,,,
,,,,869,,,,,,0.0,,1,,,,
,,,,879,,,,,,0.0,,1,,,,
,,,,889,,,,,,0.0,,1,,,,
,,,,899,,,,,,0.0,,1,,,,
,,,,909,,,,,,0.0,,1,,,,
,,,,919,,,,,,0.0,,1,,,,
,,,,929,,,,,,0.0,,1,,,,
,,,,939,,,,,,0.0,,1,,,,
,,,,949,,,,,,0.0,,1,,,,
,,,,959,,,,,,0.0,,1,,,,
,,,,969,,,,,,0.0,,1,,,,
,,,,979,,,,,,0.0,,1,,,,
,,,,989,,,,,,0.0,,1,,,,
,,,,999,,,,,,0.0,,1,,,,
,,,,1009,,,,,,0.0,,1,,,,
,,,,1019,,,,,,0.0,,1,,,,
,,,,1029,,,,,,0.0,,1,,,,
,,,,1039,,,,,,0.0,,1,,,,
,,,,1049,,,,,,0.0,,1,,,,
,,,,1059,,,,,,0.0,,1,,,,
,,,,1069,,,,,,0.0,,1,,,,
,,,,1079,,,,,,0.0,,1,,,,
,,,,1089,,,,,,0.0,,1,,,,
,,,,1099,,,,,,0.0,,1,,,,
,,,,1109,,,,,,0.0,,1,,,,
,,,,1119,,,,,,0.0,,1,,,,
,,,,1129,,,,,,0.0,,1,,,,
,,,,1129,,,,,,,,1,,,0.0,
,,,,1139,,,,,,0.0,,2,,,,
